DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
233997,233997,UT,19:20:44 25-Sep-2022,Argos,B,63.1836,-27.0925,9077,119034,692,96,,,,,,
233997,233997,UT,19:37:47 25-Sep-2022,Argos,B,63.2332,-27.1409,8776,326325,236,97,,,,,,
233997,233997,UT,19:53:19 25-Sep-2022,Argos,B,63.3151,-27.5607,6147,42623,886,94,,,,,,
233997,233997,UT,20:48:33 25-Sep-2022,Argos,0,63.3961,-28.1773,5549,63710,483,87,,,,,,
233997,233997,UT,20:54:10 25-Sep-2022,Argos,A,63.3867,-28.2761,2695,33488,216,93,,,,,,
233997,233997,UT,21:15:35 25-Sep-2022,Argos,0,63.3661,-28.2602,2158,21089,220,102,,,,,,
233997,233997,UT,21:27:34 25-Sep-2022,Argos,B,63.3503,-28.3191,2671,62822,113,77,,,,,,
233997,233997,UT,21:30:58 25-Sep-2022,Argos,B,63.4254,-27.8527,22008,60645,7986,86,,,,,,
233997,233997,UT,22:19:10 25-Sep-2022,Argos,A,63.2878,-28.3542,8465,211543,338,71,,,,,,
233997,233997,UT,22:26:42 25-Sep-2022,Argos,A,63.3122,-28.2429,2821,20668,384,93,,,,,,
233997,233997,UT,19:00:26 26-Sep-2022,Argos,B,62.7732,-31.5339,14740,36198,6001,73,,,,,,
233997,233997,UT,19:02:51 26-Sep-2022,Argos,0,63.5387,-29.9265,12422,95054,1623,64,,,,,,
233997,233997,UT,19:32:38 26-Sep-2022,Argos,B,63.5253,-30.0073,17471,40192,7594,81,,,,,,
233997,233997,UT,19:32:38 26-Sep-2022,Argos,B,63.5387,-29.9284,17772,41160,7673,82,,,,,,
233997,233997,UT,20:37:17 26-Sep-2022,Argos,0,63.6387,-30.2862,11977,292177,491,76,,,,,,
233997,233997,UT,20:37:30 26-Sep-2022,Argos,A,63.7005,-29.9631,1213,5329,276,93,,,,,,
233997,233997,UT,20:43:39 26-Sep-2022,Argos,B,63.6993,-29.9625,4744,25188,893,87,,,,,,
233997,233997,UT,21:06:14 26-Sep-2022,Argos,B,63.4992,-30.2441,39844,170418,9315,81,,,,,,
233997,233997,UT,21:14:37 26-Sep-2022,Argos,B,63.6932,-29.9763,3064,8414,1115,68,,,,,,
233997,233997,UT,22:06:59 26-Sep-2022,Argos,0,63.7190,-30.1504,1815,15978,206,74,,,,,,
233997,233997,UT,22:08:56 26-Sep-2022,Argos,B,63.7190,-30.1503,2395,6968,823,81,,,,,,
233997,233997,UT,22:19:50 26-Sep-2022,Argos,B,63.7168,-30.2681,979,5975,160,115,,,,,,
233997,233997,UT,22:25:21 26-Sep-2022,Argos,B,63.7221,-30.2812,1029,4447,237,113,,,,,,
233997,233997,UT,22:46:35 26-Sep-2022,Argos,1,63.7829,-30.1562,779,4574,132,85,,,,,,
233997,233997,UT,18:38:08 27-Sep-2022,Argos,B,63.9250,-32.1802,20696,194656,2200,53,,,,,,
233997,233997,UT,18:45:13 27-Sep-2022,Argos,B,64.0936,-31.9539,2568,14532,453,98,,,,,,
233997,233997,UT,19:08:04 27-Sep-2022,Argos,0,64.0922,-31.9275,3482,14007,865,55,,,,,,
233997,233997,UT,19:12:55 27-Sep-2022,Argos,A,64.0971,-31.9657,528,3121,89,79,,,,,,
233997,233997,UT,20:11:20 27-Sep-2022,Argos,A,64.0678,-32.0549,229,1503,34,104,,,,,,
233997,233997,UT,20:22:36 27-Sep-2022,Argos,B,64.0893,-32.0555,566,7958,40,92,,,,,,
233997,233997,UT,20:30:40 27-Sep-2022,Argos,B,64.0900,-32.0858,930,5326,162,91,,,,,,
233997,233997,UT,20:38:04 27-Sep-2022,Argos,B,64.0905,-32.0960,1038,4769,225,90,,,,,,
233997,233997,UT,20:48:51 27-Sep-2022,Argos,A,64.1051,-32.0237,254,1787,36,99,,,,,,
233997,233997,UT,21:38:45 27-Sep-2022,Argos,B,64.1116,-32.1389,924,2522,338,84,,,,,,
233997,233997,UT,21:51:05 27-Sep-2022,Argos,A,64.1603,-32.1437,202,1474,27,93,,,,,,
233997,233997,UT,21:56:16 27-Sep-2022,Argos,B,64.1595,-32.1410,410,1175,143,95,,,,,,
233997,233997,UT,21:57:56 27-Sep-2022,Argos,B,64.1595,-32.1567,449,1196,168,94,,,,,,
233997,233997,UT,22:12:40 27-Sep-2022,Argos,B,64.1348,-32.2372,1058,28570,39,71,,,,,,
233997,233997,UT,22:21:14 27-Sep-2022,Argos,1,64.1581,-32.2063,814,1619,409,92,,,,,,
233997,233997,UT,22:25:59 27-Sep-2022,Argos,1,64.1609,-32.1879,1393,14042,138,79,,,,,,
233997,233997,UT,18:40:35 28-Sep-2022,Argos,0,64.2776,-33.4479,5543,47495,647,79,,,,,,
233997,233997,UT,18:41:07 28-Sep-2022,Argos,0,64.2858,-33.4330,2813,19492,405,76,,,,,,
233997,233997,UT,18:51:08 28-Sep-2022,Argos,A,64.2756,-33.4951,2106,12976,341,80,,,,,,
233997,233997,UT,19:42:39 28-Sep-2022,Argos,B,64.2739,-33.6000,6260,15841,2473,90,,,,,,
233997,233997,UT,20:06:55 28-Sep-2022,Argos,3,64.2524,-33.6411,164,746,36,83,,,,,,
233997,233997,UT,20:07:11 28-Sep-2022,Argos,B,64.2521,-33.6415,170,475,60,82,,,,,,
233997,233997,UT,20:17:29 28-Sep-2022,Argos,1,64.2483,-33.6179,1251,9768,160,83,,,,,,
233997,233997,UT,20:19:37 28-Sep-2022,Argos,0,64.2491,-33.6688,3350,46997,238,83,,,,,,
233997,233997,UT,20:34:16 28-Sep-2022,Argos,B,64.2488,-33.6443,1242,3012,512,90,,,,,,
233997,233997,UT,21:19:34 28-Sep-2022,Argos,A,64.2663,-33.7575,7476,421176,132,100,,,,,,
233997,233997,UT,21:38:06 28-Sep-2022,Argos,0,64.2628,-33.7028,1591,13371,189,91,,,,,,
233997,233997,UT,22:01:34 28-Sep-2022,Argos,2,64.2707,-33.7959,451,3720,54,78,,,,,,
233997,233997,UT,22:07:10 28-Sep-2022,Argos,1,64.3013,-33.7441,817,4203,158,74,,,,,,
233997,233997,UT,22:57:28 28-Sep-2022,Argos,0,64.3300,-33.8972,2233,20511,243,106,,,,,,
233997,233997,UT,18:12:56 29-Sep-2022,Argos,B,64.6740,-36.5078,15464,21695,11022,116,,,,,,
233997,233997,UT,18:17:23 29-Sep-2022,Argos,B,64.4817,-36.3278,91675,,,,,,,,,
233997,233997,UT,18:31:15 29-Sep-2022,Argos,B,64.5705,-36.3797,33519,156430,7182,124,,,,,,
233997,233997,UT,18:31:15 29-Sep-2022,Argos,A,63.4039,-35.9674,16412,170781,1577,79,,,,,,
233997,233997,UT,19:53:13 29-Sep-2022,Argos,1,63.3058,-36.0573,522,1580,172,81,,,,,,
233997,233997,UT,20:07:26 29-Sep-2022,Argos,B,63.3058,-36.0575,2114,4715,948,88,,,,,,
233997,233997,UT,20:50:12 29-Sep-2022,Argos,B,63.2457,-36.0388,1937,19972,187,72,,,,,,
